id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
1532404489113812996	KADIRI 🇳🇬		2022-08-16 07:04:11+00:00	https://twitter.com/KadiriUcce/status/1559435839322701824	Twitter for Android	0	0	He fuck The way voting Peter obi way people voting tinubu He one vote may even invalid day	-0.5423	Negative
598556703	Steve Crypto		2022-08-16 07:04:10+00:00	https://twitter.com/Gbenga4Glory/status/1559435836248231937	Twitter for Android	2526	0	RT Tony Kabaka amp Festus Keyamo suppowho want The deadly cultist endorse Tinubu But D Day	0.2023	Positive
253089388	Titcombe Ayo Obaro	Abuja/Lagos	2022-08-16 07:04:10+00:00	https://twitter.com/mrr_combs/status/1559435834742415365	Twitter for Android	331	0	RT Nasarwa done dusted Bigger wave loading Calabar Akwa Ibom With way thing going soon Tinubu Atiku	0.0	Neutral
1220313994763874306	SenatorAlo		2022-08-16 07:04:09+00:00	https://twitter.com/AloSenator/status/1559435831525445634	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
1542607555536605184	rightsdefenders		2022-08-16 07:04:09+00:00	https://twitter.com/rightsdefender5/status/1559435830112002048	Twitter for Android	0	1	You said Tinubu experienced man much respect Atiku tomorrow might kwankwoso Mr Bwala de job Hunter	0.4767	Positive
316587201	Papa	Nigeria	2022-08-16 07:04:07+00:00	https://twitter.com/yeilagha/status/1559435823203946496	Twitter for Android	931	0	RT Tinubu hiring Notorious Cutist like Tony Kababar campaign tell need know	-0.1027	Negative
1063061283766001664	4G INFO MEDIA	Lagos, Nigeria	2022-08-16 07:04:07+00:00	https://twitter.com/4ginfomedia/status/1559435820909711364	WordPress.com	0	0	Reconcile aggrieved Yoruba leader Oluwo urge Tinubu	0.0	Neutral
1537369754310254593	The Truth		2022-08-16 07:04:07+00:00	https://twitter.com/TheTrut04442630/status/1559435820603510785	Twitter for Android	0	0	During tenure turned Anambra position first position educational sector One thing u agabdo people u cant come reasonable propaganda ur candidate unsellable even rigging Tinubu win Nigeria election Lagos	0.6747	Positive
346550520	Hon stanley ekwueme	Abuja Nigeria	2022-08-16 07:04:04+00:00	https://twitter.com/stanleyekwueme/status/1559435808792346624	Twitter for iPhone	1059	0	RT BreakingNews casting VOTE VOTE Tinubu Shettima Peter Obi Yusuf Atik	0.0	Neutral
294082746	Comrade Deji Adeyanju	Abuja	2022-08-16 07:04:02+00:00	https://twitter.com/adeyanjudeji/status/1559435802169540608	Twitter for iPhone	77	528	But Kwankwaso really thinking negotiating Tinubu He thought people find	0.0	Neutral
